Participant ID, Condition, Ordering, Block Number, Trial Number, Trial Start Time, Start Mug Positon X, Start Mug Positon Y, Start Mug Positon Z, Pickup Hand Position X, Pickup Hand Position Y, Pickup Hand Position Z, Pickup Hand Rotation X, Pickup Hand Rotation Y, Pickup Hand Rotation Z, Pickup Time,  Drop Mug Positon X, Drop Mug Positon Y, Drop Mug Positon Z, Drop Hand Position X, Drop Hand Position Y, Drop Hand Position Z, Drop Hand Rotation X, Drop Hand Rotation Y, Drop Hand Rotation Z, Drop Time, Target Position X, Target Position Y, Target Position Z
53269,VRTactile_Condition2,BCAD,1,1,2023-06-29 1:46:41 PM,-0.4651051,0.7832901,0.4349914,-0.3661697,0.8321275,0.4297146,0.3317329,0.7445194,0.4718742,2023-06-29 1:46:41 PM,-0.478785,0.7838758,0.4284617,-0.3634596,0.8175173,0.4142374,0.3825734,0.7101973,0.4886592,2023-06-29 1:46:42 PM,0.4233,0.7492,0.4399
53269,VRTactile_Condition2,BCAD,1,2,2023-06-29 1:46:43 PM,-0.4777414,0.7833162,0.4287832,-0.432045,0.8127565,0.4346364,0.3060493,0.7628382,0.4563139,2023-06-29 1:46:43 PM,0.4179677,0.783147,0.4278454,0.452307,0.8023992,0.401935,0.4609946,0.5053087,0.301183,2023-06-29 1:46:47 PM,0.4233,0.7492,0.4399
53269,VRTactile_Condition2,BCAD,1,3,2023-06-29 1:47:01 PM,0.4180818,0.7830874,0.4281712,0.4259548,0.8008841,0.3893431,0.6287905,0.3742281,0.2206948,2023-06-29 1:47:01 PM,-0.4995303,0.7524295,0.5279485,-0.4348849,0.7653446,0.4565698,0.3142605,0.6555166,0.5306821,2023-06-29 1:47:03 PM,0.4233,0.7492,0.4399
53269,VRTactile_Condition2,BCAD,1,4,2023-06-29 1:47:11 PM,-0.5067656,0.7697114,0.5321277,-0.467747,0.8059793,0.5257541,0.3595778,0.7118044,0.4673851,2023-06-29 1:47:11 PM,0.4288911,0.7830799,0.4250625,0.4532952,0.8159292,0.3917727,0.5184109,0.5079508,0.2997904,2023-06-29 1:47:13 PM,0.4233,0.7492,0.4399
53269,VRTactile_Condition2,BCAD,1,5,2023-06-29 1:47:16 PM,0.4288945,0.7830865,0.4250683,0.4468864,0.8180701,0.3917326,0.5820829,0.4569944,0.2721982,2023-06-29 1:47:16 PM,-0.4563931,0.783447,0.4518011,-0.4245273,0.8121271,0.4510114,0.3292544,0.6997271,0.5105134,2023-06-29 1:47:18 PM,0.4233,0.7492,0.4399
53269,VRTactile_Condition2,BCAD,2,6,2023-06-29 1:47:19 PM,-0.4566361,0.7832882,0.451682,-0.4061977,0.8386266,0.4392082,0.3297068,0.7030794,0.5159352,2023-06-29 1:47:19 PM,0.4333426,0.7832742,0.4328101,0.4568938,0.8393638,0.3748124,0.5197828,0.5008676,0.3296433,2023-06-29 1:47:21 PM,0.4233,0.7492,0.4399
53269,VRTactile_Condition2,BCAD,2,7,2023-06-29 1:47:22 PM,0.4335458,0.783093,0.4326052,0.4528344,0.850896,0.392134,0.5793806,0.4670911,0.2949479,2023-06-29 1:47:22 PM,0.427581,0.7832048,0.4332147,0.4433504,0.8610026,0.396588,0.5522317,0.4941107,0.2611234,2023-06-29 1:47:23 PM,0.4233,0.7492,0.4399
53269,VRTactile_Condition2,BCAD,2,8,2023-06-29 1:47:26 PM,0.4275116,0.7830846,0.4336196,0.343373,0.8169007,0.4229993,0.7024038,0.1255515,0.1224495,2023-06-29 1:47:26 PM,0.4244344,0.783421,0.4439776,0.4514786,0.8387006,0.3634709,0.3371588,0.6346921,0.5888775,2023-06-29 1:47:28 PM,0.4233,0.7492,0.4399
53269,VRTactile_Condition2,BCAD,2,9,2023-06-29 1:47:29 PM,0.4242026,0.7830865,0.4438543,0.4202743,0.8144438,0.3141978,0.6375649,0.3549715,0.2245546,2023-06-29 1:47:29 PM,0.4168153,0.7834873,0.4259529,0.5033055,0.8447079,0.3432134,0.4517059,0.5685318,0.4773697,2023-06-29 1:47:32 PM,0.4233,0.7492,0.4399
53269,VRTactile_Condition2,BCAD,2,10,2023-06-29 1:47:34 PM,0.4167809,0.7830862,0.4270142,0.4790477,0.8164487,0.3409114,0.561641,0.4506526,0.4358638,2023-06-29 1:47:34 PM,0.4177641,0.7834179,0.4326504,0.5099995,0.8293667,0.3866258,0.4233569,0.6209074,0.5113606,2023-06-29 1:47:36 PM,0.4233,0.7492,0.4399
