Object Name, Position x, Position y, Position z, Rotation x, Rotation y, Rotation z, TimeStamp, Currently Being Held, Times Picked Up, VRTactile_Condition4,DACB
handTR,0.0987255,-0.02064967,0.0006196165,0,0,0,2023-06-21 4:56:16 PM
handTL,-0.0987255,0.02064967,-0.0006196165,0,0,0,2023-06-21 4:56:16 PM
mug2,0.04,1.452,0.656,0.7306831,0.7306831,0.5926843,2023-06-21 4:56:16 PM
mug1,-0.4641001,0.7876946,0.435,0,0,0,2023-06-21 4:56:16 PM,False,0
handTR,0.0987255,-0.02064967,0.0006196165,0,0,0,2023-06-21 4:56:16 PM
handTL,-0.0987255,0.02064967,-0.0006196165,0,0,0,2023-06-21 4:56:16 PM
mug2,-0.2870726,0.8441771,0.5913644,-0.9987164,-0.9987164,0.02102539,2023-06-21 4:56:16 PM
mug1,-0.4641017,0.7845801,0.4349971,9.670033E-07,9.670033E-07,2.204863E-05,2023-06-21 4:56:16 PM,False,0
handTR,0.0987255,-0.02064967,0.0006196165,0,0,0,2023-06-21 4:56:16 PM
handTL,-0.0987255,0.02064967,-0.0006196165,0,0,0,2023-06-21 4:56:16 PM
mug2,-0.2870726,0.8441771,0.5913644,-0.9987164,-0.9987164,0.02102539,2023-06-21 4:56:16 PM
mug1,-0.4641051,0.7833047,0.4349911,1.036174E-05,1.036174E-05,6.700774E-05,2023-06-21 4:56:16 PM,False,0
handTR,0.0987255,-0.02064967,0.0006196165,0,0,0,2023-06-21 4:56:16 PM
handTL,-0.0987255,0.02064967,-0.0006196165,0,0,0,2023-06-21 4:56:16 PM
mug2,-0.2870735,0.8441777,0.591364,-0.9987164,-0.9987164,0.02102411,2023-06-21 4:56:16 PM
mug1,-0.4641034,0.7832884,0.4349941,4.946747E-06,4.946747E-06,4.430009E-05,2023-06-21 4:56:16 PM,False,0
handTR,0.0987255,-0.02064967,0.0006196165,0,0,0,2023-06-21 4:56:16 PM
handTL,-0.0987255,0.02064967,-0.0006196165,0,0,0,2023-06-21 4:56:16 PM
mug2,-0.2870735,0.8441777,0.5913638,-0.9987163,-0.9987163,0.02102357,2023-06-21 4:56:16 PM
mug1,-0.4641036,0.7832886,0.4349937,5.793308E-06,5.793308E-06,4.698632E-05,2023-06-21 4:56:16 PM,False,0
handTR,0.0987255,-0.02064967,0.0006196165,0,0,0,2023-06-21 4:56:16 PM
handTL,-0.0987255,0.02064967,-0.0006196165,0,0,0,2023-06-21 4:56:16 PM
mug2,-0.2870739,0.8441779,0.5913637,-0.9987162,-0.9987162,0.02102569,2023-06-21 4:56:16 PM
mug1,-0.4641038,0.7832887,0.4349933,6.438785E-06,6.438785E-06,4.935211E-05,2023-06-21 4:56:16 PM,False,0
handTR,0.0987255,-0.02064967,0.0006196165,0,0,0,2023-06-21 4:56:16 PM
handTL,-0.0987255,0.02064967,-0.0006196165,0,0,0,2023-06-21 4:56:16 PM
mug2,-0.2870732,0.8441775,0.5913638,-0.9987164,-0.9987164,0.02102306,2023-06-21 4:56:16 PM
mug1,-0.4641038,0.7832888,0.4349934,6.207658E-06,6.207658E-06,4.90229E-05,2023-06-21 4:56:16 PM,False,0
handTR,0.0987255,-0.02064967,0.0006196165,0,0,0,2023-06-21 4:56:16 PM
handTL,-0.0987255,0.02064967,-0.0006196165,0,0,0,2023-06-21 4:56:16 PM
mug2,-0.2870735,0.8441777,0.591364,-0.9987164,-0.9987164,0.02102411,2023-06-21 4:56:16 PM
mug1,-0.4641038,0.7832888,0.4349934,6.16185E-06,6.16185E-06,4.868031E-05,2023-06-21 4:56:16 PM,False,0
handTR,0.0987255,-0.02064967,0.0006196165,0,0,0,2023-06-21 4:56:16 PM
handTL,-0.0987255,0.02064967,-0.0006196165,0,0,0,2023-06-21 4:56:16 PM
mug2,-0.287073,0.8441774,0.5913643,-0.9987163,-0.9987163,0.02102587,2023-06-21 4:56:16 PM
mug1,-0.4641038,0.7832887,0.4349934,6.121191E-06,6.121191E-06,4.871875E-05,2023-06-21 4:56:16 PM,False,0
handTR,0.0987255,-0.02064967,0.0006196165,0,0,0,2023-06-21 4:56:16 PM
handTL,-0.0987255,0.02064967,-0.0006196165,0,0,0,2023-06-21 4:56:16 PM
mug2,-0.2870733,0.8441775,0.5913645,-0.9987164,-0.9987164,0.02102685,2023-06-21 4:56:16 PM
mug1,-0.4641038,0.7832887,0.4349934,6.264992E-06,6.264992E-06,4.874576E-05,2023-06-21 4:56:16 PM,False,0
handTR,0.0987255,-0.02064967,0.0006196165,0,0,0,2023-06-21 4:56:16 PM
handTL,-0.0987255,0.02064967,-0.0006196165,0,0,0,2023-06-21 4:56:16 PM
mug2,-0.2870731,0.8441775,0.5913641,-0.9987163,-0.9987163,0.02102575,2023-06-21 4:56:16 PM
mug1,-0.4641038,0.7832887,0.4349934,6.264992E-06,6.264992E-06,4.874576E-05,2023-06-21 4:56:16 PM,False,0
handTR,0.0987255,-0.02064967,0.0006196165,0,0,0,2023-06-21 4:56:16 PM
handTL,-0.0987255,0.02064967,-0.0006196165,0,0,0,2023-06-21 4:56:16 PM
mug2,-0.2870735,0.8441777,0.5913638,-0.9987163,-0.9987163,0.02102357,2023-06-21 4:56:16 PM
mug1,-0.4641038,0.7832887,0.4349934,6.264992E-06,6.264992E-06,4.874576E-05,2023-06-21 4:56:16 PM,False,0
handTR,0.0987255,-0.02064967,0.0006196165,0,0,0,2023-06-21 4:56:16 PM
handTL,-0.0987255,0.02064967,-0.0006196165,0,0,0,2023-06-21 4:56:16 PM
