Object Name, Position x, Position y, Position z, Rotation x, Rotation y, Rotation z, Times Picked Up, VRTactile_Condition1
handR,0.1001615,-0.0238383,0.02425471,0,0,0
handL,-0.1001615,1.426838,0.6237453,0,0,0
mug1,-0.4620997,0.7870861,0.435,1.455191E-11,1.455191E-11,-1.421085E-14,0
handR,0.5314624,0.7636724,0.2349219,0.2971545,0.2971545,0.2163838
handL,-0.03650526,-0.01676178,-0.06186581,-0.450967,-0.450967,0.4447567
mug1,-0.462101,0.7840579,0.4349973,8.870199E-07,8.870199E-07,1.33886E-05,0
handR,0.5420215,0.7391943,0.231935,0.2615291,0.2615291,0.2510439
handL,-0.03650526,-0.01676178,-0.06186581,-0.450967,-0.450967,0.4447567
mug1,-0.4621054,0.783316,0.435,7.864295E-06,7.864295E-06,7.044584E-05,0
handR,0.5499024,0.736365,0.2333168,0.2476213,0.2476213,0.233389
handL,-0.03650526,-0.01676178,-0.06186581,-0.450967,-0.450967,0.4447567
mug1,-0.4621041,0.783288,0.4350009,3.235249E-06,3.235249E-06,5.353934E-05,0
handR,0.5393468,0.7473266,0.2376425,0.2799781,0.2799781,0.2201397
handL,-0.03650526,-0.01676178,-0.06186581,-0.450967,-0.450967,0.4447567
mug1,-0.4621035,0.7832867,0.4350004,3.274986E-06,3.274986E-06,4.614005E-05,0
handR,0.5293777,0.7590256,0.2415601,0.3184517,0.3184517,0.2106885
handL,-0.03650526,-0.01676178,-0.06186581,-0.450967,-0.450967,0.4447567
mug1,-0.4621037,0.7832867,0.4350003,3.912191E-06,3.912191E-06,4.864599E-05,0
handR,0.5219329,0.771596,0.242931,0.3279465,0.3279465,0.1898955
handL,-0.03650526,-0.01676178,-0.06186581,-0.450967,-0.450967,0.4447567
mug1,-0.4621039,0.7832868,0.4350004,4.015115E-06,4.015115E-06,5.074955E-05,0
handR,0.5136564,0.7797953,0.2431668,0.3363484,0.3363484,0.1738705
handL,-0.03650526,-0.01676178,-0.06186581,-0.450967,-0.450967,0.4447567
mug1,-0.4621039,0.7832868,0.4350004,4.036332E-06,4.036332E-06,5.045218E-05,0
handR,0.4945314,0.7916863,0.245009,0.3616122,0.3616122,0.1675312
handL,-0.03650526,-0.01676178,-0.06186581,-0.450967,-0.450967,0.4447567
mug1,-0.4621038,0.7832868,0.4350004,3.92244E-06,3.92244E-06,5.016436E-05,0
handR,0.4698723,0.8042681,0.2489084,0.405708,0.405708,0.1817464
handL,-0.03650526,-0.01676178,-0.06186581,-0.450967,-0.450967,0.4447567
