Participant ID, Object Name, Position x, Position y, Position z, Rotation x, Rotation y, Rotation z, TimeStamp, Currently Being Held, Block Number, Trial Number, Condition, Ordering
4321,handL,-0.2024604,0.8231091,0.1390378,-0.5182482,-0.5182482,-0.0002801737,2023-06-28 12:58:14 PM,False,1,0,VRTactile_Condition2,BCAD
4321,mug1,-0.4651062,0.7832905,0.4349913,7.679051E-06,7.679051E-06,8.206774E-05,2023-06-28 12:58:14 PM,False,1,0,VRTactile_Condition2,BCAD
4321,handR,0.2875499,0.8900163,0.1566556,0.3678198,0.3678198,0.3284626,2023-06-28 12:58:14 PM,False,1,0,VRTactile_Condition2,BCAD
4321,handL,-0.2053474,0.8227993,0.1386753,-0.5229959,-0.5229959,-0.01585999,2023-06-28 12:58:14 PM,False,1,0,VRTactile_Condition2,BCAD
4321,mug1,-0.4651062,0.7832906,0.4349913,7.609588E-06,7.609588E-06,8.211173E-05,2023-06-28 12:58:14 PM,False,1,0,VRTactile_Condition2,BCAD
4321,handR,0.2793111,0.8943914,0.1560653,0.376519,0.376519,0.3418843,2023-06-28 12:58:14 PM,False,1,0,VRTactile_Condition2,BCAD
4321,handL,-0.2068738,0.8231925,0.1372832,-0.527194,-0.527194,-0.03371834,2023-06-28 12:58:14 PM,False,1,0,VRTactile_Condition2,BCAD
4321,mug1,-0.4651062,0.7832906,0.4349913,7.609588E-06,7.609588E-06,8.211173E-05,2023-06-28 12:58:14 PM,False,1,0,VRTactile_Condition2,BCAD
4321,handR,0.2715425,0.8959137,0.1557716,0.3815572,0.3815572,0.3587306,2023-06-28 12:58:14 PM,False,1,0,VRTactile_Condition2,BCAD
4321,handL,-0.2069019,0.8249059,0.1357085,-0.5260206,-0.5260206,-0.02818124,2023-06-28 12:58:14 PM,False,1,0,VRTactile_Condition2,BCAD
4321,mug1,-0.4651062,0.7832906,0.4349913,7.609588E-06,7.609588E-06,8.211173E-05,2023-06-28 12:58:14 PM,False,1,0,VRTactile_Condition2,BCAD
4321,handR,0.2637357,0.8976672,0.1551262,0.3934715,0.3934715,0.3450977,2023-06-28 12:58:14 PM,False,1,0,VRTactile_Condition2,BCAD
4321,handL,-0.207345,0.8267046,0.135235,-0.5299005,-0.5299005,-0.01753335,2023-06-28 12:58:14 PM,False,1,0,VRTactile_Condition2,BCAD
4321,mug1,-0.4651062,0.7832906,0.4349913,7.609588E-06,7.609588E-06,8.211173E-05,2023-06-28 12:58:14 PM,False,1,0,VRTactile_Condition2,BCAD
4321,handR,0.2622488,0.8973716,0.1540552,0.3900912,0.3900912,0.3523543,2023-06-28 12:58:14 PM,False,1,0,VRTactile_Condition2,BCAD
4321,handL,-0.2070566,0.8278857,0.1344796,-0.5284768,-0.5284768,-0.01667644,2023-06-28 12:58:14 PM,False,1,0,VRTactile_Condition2,BCAD
4321,mug1,-0.4651062,0.7832906,0.4349913,7.609588E-06,7.609588E-06,8.211173E-05,2023-06-28 12:58:14 PM,False,1,0,VRTactile_Condition2,BCAD
4321,handR,0.2571974,0.89643,0.15495,0.3934556,0.3934556,0.3723313,2023-06-28 12:58:14 PM,False,1,0,VRTactile_Condition2,BCAD
4321,handL,-0.2076044,0.8285487,0.1336745,-0.5289794,-0.5289794,-0.01144736,2023-06-28 12:58:14 PM,False,1,0,VRTactile_Condition2,BCAD
4321,mug1,-0.4651062,0.7832906,0.4349913,7.609588E-06,7.609588E-06,8.211173E-05,2023-06-28 12:58:14 PM,False,1,0,VRTactile_Condition2,BCAD
4321,handR,0.2542623,0.8972012,0.154077,0.4021426,0.4021426,0.3481643,2023-06-28 12:58:14 PM,False,1,0,VRTactile_Condition2,BCAD
4321,handL,-0.208302,0.8291286,0.1329556,-0.5268074,-0.5268074,-0.003460786,2023-06-28 12:58:14 PM,False,1,0,VRTactile_Condition2,BCAD
4321,mug1,-0.4651062,0.7832906,0.4349913,7.609588E-06,7.609588E-06,8.211173E-05,2023-06-28 12:58:14 PM,False,1,0,VRTactile_Condition2,BCAD
