Participant ID, Condition, Ordering, Block Number, Trial Number, Trial Start Time, Start Mug Positon X, Start Mug Positon Y, Start Mug Positon Z, Pickup Hand Position X, Pickup Hand Position Y, Pickup Hand Position Z, Pickup Hand Rotation X, Pickup Hand Rotation Y, Pickup Hand Rotation Z, Pickup Time,  Drop Mug Positon X, Drop Mug Positon Y, Drop Mug Positon Z, Drop Hand Position X, Drop Hand Position Y, Drop Hand Position Z, Drop Hand Rotation X, Drop Hand Rotation Y, Drop Hand Rotation Z, Drop Time, Target Position X, Target Position Y, Target Position Z
52,VRTactile_Condition1,ABDC,1,1,2023-07-21 2:32:52 PM,-0.4621029,0.7832869,0.4349978,-0.3982031,0.8635296,0.4086736,0.2465502,0.7190087,0.447138,2023-07-21 2:32:52 PM,0.424304,0.7844155,0.4534737,0.4027747,0.89856,0.3618881,0.4893795,0.3393541,0.1718961,2023-07-21 2:32:53 PM,0.4233,0.7492,0.4399
52,VRTactile_Condition1,ABDC,1,2,2023-07-21 2:32:54 PM,0.4235116,0.7831005,0.4521461,0.4228613,0.844718,0.3881209,0.455169,0.3425421,0.1677195,2023-07-21 2:32:54 PM,0.4044212,0.8471708,0.4065828,0.4064201,0.9168131,0.3484997,0.4814538,0.3679733,0.1447713,2023-07-21 2:32:55 PM,0.4233,0.7492,0.4399
52,VRTactile_Condition1,ABDC,1,3,2023-07-21 2:32:56 PM,0.4055283,0.7829016,0.4025634,0.4163924,0.8421496,0.3598848,0.4720261,0.3159808,0.1918897,2023-07-21 2:32:56 PM,-0.3830394,0.7765251,0.3892278,-0.3327031,0.911342,0.3900681,0.3577026,0.7109709,0.4803986,2023-07-21 2:32:57 PM,0.4233,0.7492,0.4399
52,VRTactile_Condition1,ABDC,1,4,2023-07-21 2:32:58 PM,-0.3887057,0.7773741,0.3750891,-0.3459882,0.8555731,0.3713604,0.3397731,0.7372286,0.4290235,2023-07-21 2:32:58 PM,-0.4621593,0.7851828,0.41477,-0.3961158,0.9034241,0.3963646,0.4454748,0.6591793,0.4371568,2023-07-21 2:32:58 PM,0.4233,0.7492,0.4399
52,VRTactile_Condition1,ABDC,1,5,2023-07-21 2:32:59 PM,-0.4624711,0.7833803,0.4165591,-0.4028328,0.8577951,0.3948392,0.2933499,0.7557793,0.3833386,2023-07-21 2:32:59 PM,0.3953279,0.7877695,0.443868,0.4013228,0.9146089,0.3678265,0.5357101,0.3491878,0.1067369,2023-07-21 2:33:00 PM,0.4233,0.7492,0.4399
52,VRTactile_Condition1,ABDC,2,6,2023-07-21 2:33:01 PM,0.3954836,0.7832568,0.4495178,0.3875065,0.8589897,0.389681,0.4453161,0.3905995,0.1115404,2023-07-21 2:33:01 PM,-0.4413144,0.7861369,0.4253731,-0.3662577,0.9095492,0.4000909,0.3826174,0.7843913,0.3605603,2023-07-21 2:33:02 PM,0.4233,0.7492,0.4399
52,VRTactile_Condition1,ABDC,2,7,2023-07-21 2:33:03 PM,-0.4434943,0.7832941,0.4279884,-0.3909089,0.8633806,0.3967566,0.2480751,0.8642306,0.265341,2023-07-21 2:33:03 PM,0.4072903,0.7938039,0.4537195,0.3888454,0.9056755,0.3764439,0.4037912,0.4660465,0.01894683,2023-07-21 2:33:05 PM,0.4233,0.7492,0.4399
52,VRTactile_Condition1,ABDC,2,8,2023-07-21 2:33:05 PM,0.4070783,0.7830871,0.4439404,0.3795245,0.8539818,0.3893376,0.3567226,0.4616515,0.05477974,2023-07-21 2:33:05 PM,-0.4336222,0.8184203,0.4324871,-0.3727791,0.9001943,0.392279,0.3375704,0.8508612,0.2851971,2023-07-21 2:33:07 PM,0.4233,0.7492,0.4399
52,VRTactile_Condition1,ABDC,2,9,2023-07-21 2:33:08 PM,-0.4408902,0.7832922,0.433703,-0.3886231,0.8687813,0.3924864,0.2136015,0.8800465,0.266583,2023-07-21 2:33:08 PM,0.4030105,0.7899287,0.4218644,0.365739,0.893352,0.3510515,0.3314515,0.4995201,-0.009628415,2023-07-21 2:33:09 PM,0.4233,0.7492,0.4399
52,VRTactile_Condition1,ABDC,2,10,2023-07-21 2:33:09 PM,0.410168,0.7830984,0.4239981,0.3789206,0.8469253,0.3645386,0.3384976,0.4725921,0.01398575,2023-07-21 2:33:09 PM,-0.1833573,0.7970643,0.4089916,-0.1381081,0.8921496,0.3564866,0.2767002,0.8543588,0.1858501,2023-07-21 2:33:10 PM,0.4233,0.7492,0.4399
