Object Name, Position x, Position y, Position z, Rotation x, Rotation y, Rotation z, TimeStamp, Currently Being Held, Block Number, Trial Number, VRTactile_Condition2,BCAD
handR,0.1223146,0.6880361,0.2903842,0.6617902,0.6617902,0.4044352,2023-06-22 4:36:33 PM
handL,-0.03927191,-0.04038429,-0.06413949,-0.450967,-0.450967,0.4447567,2023-06-22 4:36:33 PM
mug1,-0.4651062,0.7832906,0.4349913,7.609588E-06,7.609588E-06,8.211173E-05,2023-06-22 4:36:33 PM,False,0,0
handR,0.1123777,0.6939577,0.2861941,0.6797524,0.6797524,0.3989416,2023-06-22 4:36:33 PM
handL,-0.03927191,-0.04038429,-0.06413949,-0.450967,-0.450967,0.4447567,2023-06-22 4:36:33 PM
mug1,-0.4651062,0.7832906,0.4349913,7.609588E-06,7.609588E-06,8.211173E-05,2023-06-22 4:36:33 PM,False,0,0
handR,0.1038698,0.7007203,0.2829317,0.6886526,0.6886526,0.4030621,2023-06-22 4:36:33 PM
handL,-0.03927191,-0.04038429,-0.06413949,-0.450967,-0.450967,0.4447567,2023-06-22 4:36:33 PM
mug1,-0.4651062,0.7832906,0.4349913,7.609588E-06,7.609588E-06,8.211173E-05,2023-06-22 4:36:33 PM,False,0,0
handR,0.1017369,0.7039175,0.2807779,0.6759884,0.6759884,0.4277834,2023-06-22 4:36:33 PM
handL,-0.03927191,-0.04038429,-0.06413949,-0.450967,-0.450967,0.4447567,2023-06-22 4:36:33 PM
mug1,-0.4651062,0.7832906,0.4349913,7.609588E-06,7.609588E-06,8.211173E-05,2023-06-22 4:36:33 PM,False,0,0
handR,0.1019416,0.7091931,0.2800795,0.6705536,0.6705536,0.4397033,2023-06-22 4:36:33 PM
handL,-0.03927191,-0.04038429,-0.06413949,-0.450967,-0.450967,0.4447567,2023-06-22 4:36:33 PM
mug1,-0.4651062,0.7832906,0.4349913,7.609588E-06,7.609588E-06,8.211173E-05,2023-06-22 4:36:33 PM,False,0,0
handR,0.1002615,0.7165615,0.2791978,0.6603795,0.6603795,0.4548018,2023-06-22 4:36:33 PM
handL,-0.03927191,-0.04038429,-0.06413949,-0.450967,-0.450967,0.4447567,2023-06-22 4:36:33 PM
mug1,-0.4651062,0.7832906,0.4349913,7.609588E-06,7.609588E-06,8.211173E-05,2023-06-22 4:36:33 PM,False,0,0
handR,0.1011844,0.721022,0.2794055,0.6479902,0.6479902,0.4698402,2023-06-22 4:36:33 PM
handL,-0.03927191,-0.04038429,-0.06413949,-0.450967,-0.450967,0.4447567,2023-06-22 4:36:33 PM
mug1,-0.4651062,0.7832906,0.4349913,7.609588E-06,7.609588E-06,8.211173E-05,2023-06-22 4:36:33 PM,False,0,0
handR,0.09979759,0.7297495,0.2802474,0.6362134,0.6362134,0.4844584,2023-06-22 4:36:33 PM
handL,-0.03927191,-0.04038429,-0.06413949,-0.450967,-0.450967,0.4447567,2023-06-22 4:36:33 PM
mug1,-0.4651062,0.7832906,0.4349913,7.609588E-06,7.609588E-06,8.211173E-05,2023-06-22 4:36:33 PM,False,0,0
handR,0.09836499,0.7370551,0.2839615,0.6018541,0.6018541,0.5229064,2023-06-22 4:36:33 PM
handL,-0.03927191,-0.04038429,-0.06413949,-0.450967,-0.450967,0.4447567,2023-06-22 4:36:33 PM
mug1,-0.4651062,0.7832906,0.4349913,7.609588E-06,7.609588E-06,8.211173E-05,2023-06-22 4:36:33 PM,False,0,0
handR,0.08996139,0.7489595,0.2884341,0.5812685,0.5812685,0.5534537,2023-06-22 4:36:33 PM
handL,-0.03927191,-0.04038429,-0.06413949,-0.450967,-0.450967,0.4447567,2023-06-22 4:36:33 PM
mug1,-0.4651062,0.7832906,0.4349913,7.609588E-06,7.609588E-06,8.211173E-05,2023-06-22 4:36:33 PM,False,0,0
handR,0.07751328,0.7634113,0.2928452,0.5882909,0.5882909,0.551448,2023-06-22 4:36:33 PM
handL,-0.03927191,-0.04038429,-0.06413949,-0.450967,-0.450967,0.4447567,2023-06-22 4:36:33 PM
mug1,-0.4651062,0.7832906,0.4349913,7.609588E-06,7.609588E-06,8.211173E-05,2023-06-22 4:36:33 PM,False,0,0
handR,0.06234749,0.7765727,0.2963693,0.6011117,0.6011117,0.5405389,2023-06-22 4:36:33 PM
handL,-0.03927191,-0.04038429,-0.06413949,-0.450967,-0.450967,0.4447567,2023-06-22 4:36:33 PM
mug1,-0.4651062,0.7832906,0.4349913,7.609588E-06,7.609588E-06,8.211173E-05,2023-06-22 4:36:33 PM,False,0,0
handR,0.03733367,0.79215,0.3015581,0.6053963,0.6053963,0.5673555,2023-06-22 4:36:33 PM
handL,-0.03927191,-0.04038429,-0.06413949,-0.450967,-0.450967,0.4447567,2023-06-22 4:36:33 PM
mug1,-0.4651062,0.7832906,0.4349913,7.609588E-06,7.609588E-06,8.211173E-05,2023-06-22 4:36:33 PM,False,0,0
handR,0.008139558,0.8067573,0.3062382,0.61462,0.61462,0.6014323,2023-06-22 4:36:33 PM
handL,-0.03927191,-0.04038429,-0.06413949,-0.450967,-0.450967,0.4447567,2023-06-22 4:36:33 PM
mug1,-0.4651062,0.7832906,0.4349913,7.609588E-06,7.609588E-06,8.211173E-05,2023-06-22 4:36:33 PM,False,0,0
handR,-0.01769425,0.8168817,0.3103642,0.6382589,0.6382589,0.6022492,2023-06-22 4:36:33 PM
handL,-0.03927191,-0.04038429,-0.06413949,-0.450967,-0.450967,0.4447567,2023-06-22 4:36:33 PM
mug1,-0.4651062,0.7832906,0.4349913,7.609588E-06,7.609588E-06,8.211173E-05,2023-06-22 4:36:33 PM,False,0,0
handR,-0.0505498,0.8327065,0.3171572,0.6757683,0.6757683,0.5703608,2023-06-22 4:36:33 PM
handL,-0.03927191,-0.04038429,-0.06413949,-0.450967,-0.450967,0.4447567,2023-06-22 4:36:33 PM
mug1,-0.4651062,0.7832906,0.4349913,7.609588E-06,7.609588E-06,8.211173E-05,2023-06-22 4:36:33 PM,False,0,0
handR,-0.07519802,0.8423375,0.3230824,0.7050615,0.7050615,0.5309795,2023-06-22 4:36:33 PM
handL,-0.03927191,-0.04038429,-0.06413949,-0.450967,-0.450967,0.4447567,2023-06-22 4:36:33 PM
mug1,-0.4651062,0.7832906,0.4349913,7.609588E-06,7.609588E-06,8.211173E-05,2023-06-22 4:36:33 PM,False,0,0
handR,-0.1010068,0.8493013,0.3291452,0.7176638,0.7176638,0.5230857,2023-06-22 4:36:33 PM
handL,-0.03927191,-0.04038429,-0.06413949,-0.450967,-0.450967,0.4447567,2023-06-22 4:36:33 PM
mug1,-0.4651062,0.7832906,0.4349913,7.609588E-06,7.609588E-06,8.211173E-05,2023-06-22 4:36:33 PM,False,0,0
handR,-0.1365823,0.8594752,0.3386868,0.7239156,0.7239156,0.5123655,2023-06-22 4:36:33 PM
handL,-0.03927191,-0.04038429,-0.06413949,-0.450967,-0.450967,0.4447567,2023-06-22 4:36:33 PM
mug1,-0.4651062,0.7832906,0.4349913,7.609588E-06,7.609588E-06,8.211173E-05,2023-06-22 4:36:33 PM,False,0,0
handR,-0.1729608,0.8656318,0.3478666,0.7098106,0.7098106,0.5384665,2023-06-22 4:36:33 PM
handL,-0.03927191,-0.04038429,-0.06413949,-0.450967,-0.450967,0.4447567,2023-06-22 4:36:33 PM
mug1,-0.4651062,0.7832906,0.4349913,7.609588E-06,7.609588E-06,8.211173E-05,2023-06-22 4:36:33 PM,False,0,0
handR,-0.2081265,0.8719786,0.3560924,0.705988,0.705988,0.5467333,2023-06-22 4:36:33 PM
handL,-0.03927191,-0.04038429,-0.06413949,-0.450967,-0.450967,0.4447567,2023-06-22 4:36:33 PM
mug1,-0.4651062,0.7832906,0.4349913,7.609588E-06,7.609588E-06,8.211173E-05,2023-06-22 4:36:34 PM,False,0,0
handR,-0.2280339,0.8746357,0.3624933,0.7151223,0.7151223,0.5335902,2023-06-22 4:36:34 PM
handL,-0.03927191,-0.04038429,-0.06413949,-0.450967,-0.450967,0.4447567,2023-06-22 4:36:34 PM
mug1,-0.4651062,0.7832906,0.4349913,7.609588E-06,7.609588E-06,8.211173E-05,2023-06-22 4:36:34 PM,False,0,0
handR,-0.2586423,0.875068,0.371536,0.7002808,0.7002808,0.5602528,2023-06-22 4:36:34 PM
handL,-0.03927191,-0.04038429,-0.06413949,-0.450967,-0.450967,0.4447567,2023-06-22 4:36:34 PM
mug1,-0.4651062,0.7832906,0.4349913,7.609588E-06,7.609588E-06,8.211173E-05,2023-06-22 4:36:34 PM,False,0,0
handR,-0.2740539,0.8765245,0.3770178,0.7163389,0.7163389,0.5219491,2023-06-22 4:36:34 PM
handL,-0.03927191,-0.04038429,-0.06413949,-0.450967,-0.450967,0.4447567,2023-06-22 4:36:34 PM
mug1,-0.4651062,0.7832906,0.4349913,7.609588E-06,7.609588E-06,8.211173E-05,2023-06-22 4:36:34 PM,False,0,0
handR,-0.2973124,0.8753225,0.3843764,0.7024221,0.7024221,0.5253299,2023-06-22 4:36:34 PM
handL,-0.03927191,-0.04038429,-0.06413949,-0.450967,-0.450967,0.4447567,2023-06-22 4:36:34 PM
mug1,-0.4651062,0.7832906,0.4349913,7.609588E-06,7.609588E-06,8.211173E-05,2023-06-22 4:36:34 PM,False,0,0
handR,-0.3195546,0.8764611,0.3892312,0.7147962,0.7147962,0.5128822,2023-06-22 4:36:34 PM
handL,-0.03927191,-0.04038429,-0.06413949,-0.450967,-0.450967,0.4447567,2023-06-22 4:36:34 PM
mug1,-0.4651062,0.7832906,0.4349913,7.609588E-06,7.609588E-06,8.211173E-05,2023-06-22 4:36:34 PM,False,0,0
handR,-0.337615,0.8791277,0.393241,0.736576,0.736576,0.4644355,2023-06-22 4:36:34 PM
handL,-0.03927191,-0.04038429,-0.06413949,-0.450967,-0.450967,0.4447567,2023-06-22 4:36:34 PM
mug1,-0.4651062,0.7832906,0.4349913,7.609588E-06,7.609588E-06,8.211173E-05,2023-06-22 4:36:34 PM,False,0,0
handR,-0.355598,0.8739589,0.3988875,0.7228475,0.7228475,0.4978474,2023-06-22 4:36:34 PM
handL,-0.03927191,-0.04038429,-0.06413949,-0.450967,-0.450967,0.4447567,2023-06-22 4:36:34 PM
