Participant ID, Condition, Ordering, Block Number, Trial Number, Trial Start Time, Start Mug Positon X, Start Mug Positon Y, Start Mug Positon Z, Pickup Hand Position X, Pickup Hand Position Y, Pickup Hand Position Z, Pickup Hand Rotation X, Pickup Hand Rotation Y, Pickup Hand Rotation Z, Pickup Time,  Drop Mug Positon X, Drop Mug Positon Y, Drop Mug Positon Z, Drop Hand Position X, Drop Hand Position Y, Drop Hand Position Z, Drop Hand Rotation X, Drop Hand Rotation Y, Drop Hand Rotation Z, Drop Time, Target Position X, Target Position Y, Target Position Z
4444,VRTactile_Condition2,BCAD,1,1,2023-06-28 4:51:15 PM,-0.4651033,0.7832886,0.4349925,-0.3950216,0.8522365,0.4299264,0.2609551,0.7866928,0.4092935,2023-06-28 4:51:15 PM,0.4171336,0.7935803,0.4313699,0.4250489,0.8845859,0.3721609,0.4719666,0.3981707,0.1328622,2023-06-28 4:51:16 PM,0.4233,0.7492,0.4399
4444,VRTactile_Condition2,BCAD,1,2,2023-06-28 4:51:17 PM,0.4209037,0.7830837,0.4337249,0.4283309,0.8245358,0.3864786,0.5482605,0.4266148,0.2389567,2023-06-28 4:51:17 PM,-0.4256984,0.7871784,0.4131346,-0.3740989,0.8665466,0.3960022,0.380476,0.7043409,0.4969656,2023-06-28 4:51:18 PM,0.4233,0.7492,0.4399
4444,VRTactile_Condition2,BCAD,1,3,2023-06-28 4:51:20 PM,-0.4284191,0.7830635,0.412553,-0.3686595,0.8223169,0.3963582,0.2819599,0.7104938,0.5664675,2023-06-28 4:51:20 PM,0.4003948,0.804552,0.4217855,0.3955972,0.8530793,0.3682191,0.5126534,0.3663805,0.1752038,2023-06-28 4:51:21 PM,0.4233,0.7492,0.4399
4444,VRTactile_Condition2,BCAD,1,4,2023-06-28 4:51:21 PM,0.4063603,0.7830939,0.4208809,0.4027001,0.819495,0.3691255,0.6168582,0.3647978,0.2083295,2023-06-28 4:51:21 PM,0.03802328,0.7804452,0.4170964,0.07541779,0.8792008,0.3786508,0.5195868,0.6210421,0.4219905,2023-06-28 4:51:22 PM,0.4233,0.7492,0.4399
4444,VRTactile_Condition2,BCAD,1,5,2023-06-28 4:51:23 PM,0.0363877,0.7697126,0.422124,0.05973931,0.8199078,0.389286,0.5313843,0.5785021,0.4227681,2023-06-28 4:51:23 PM,0.3953043,0.7891292,0.4176732,0.3911572,0.9116318,0.36933,0.6782666,0.4127671,0.08944336,2023-06-28 4:51:23 PM,0.4233,0.7492,0.4399
4444,VRTactile_Condition2,BCAD,2,6,2023-06-28 4:51:24 PM,0.4009326,0.7831121,0.4254898,0.3944374,0.8657631,0.3760778,0.6909931,0.3960224,0.0825796,2023-06-28 4:51:24 PM,-0.1033261,0.7699886,0.4504984,-0.07825426,0.8918927,0.4204431,0.5091113,0.6705021,0.4340706,2023-06-28 4:51:25 PM,0.4233,0.7492,0.4399
4444,VRTactile_Condition2,BCAD,2,7,2023-06-28 4:51:26 PM,-0.1034379,0.7697107,0.4504404,-0.07497702,0.8307939,0.426194,0.4917437,0.6140992,0.4525069,2023-06-28 4:51:26 PM,0.4094598,0.7862932,0.4512255,0.3995497,0.8753788,0.4041865,0.6414697,0.3654136,0.1601331,2023-06-28 4:51:26 PM,0.4233,0.7492,0.4399
4444,VRTactile_Condition2,BCAD,2,8,2023-06-28 4:51:27 PM,0.4084368,0.7830878,0.45195,0.4076876,0.8267212,0.3899392,0.6237613,0.3391206,0.1671582,2023-06-28 4:51:27 PM,-0.08264749,0.7853822,0.4542263,-0.03856428,0.9144098,0.4097738,0.5282645,0.667207,0.3751743,2023-06-28 4:51:28 PM,0.4233,0.7492,0.4399
4444,VRTactile_Condition2,BCAD,2,9,2023-06-28 4:51:29 PM,-0.08439809,0.7697361,0.4593607,-0.05350584,0.8120222,0.4168032,0.4522241,0.6313753,0.4098631,2023-06-28 4:51:29 PM,0.4066707,0.7849869,0.454239,0.3834571,0.8769126,0.3906628,0.6282004,0.3622119,0.07101062,2023-06-28 4:51:30 PM,0.4233,0.7492,0.4399
4444,VRTactile_Condition2,BCAD,2,10,2023-06-28 4:51:30 PM,0.4078055,0.7830883,0.4513612,0.3973586,0.829996,0.3941363,0.5937133,0.3333009,0.1380679,2023-06-28 4:51:30 PM,-0.06134117,0.7826635,0.4651468,-0.02639726,0.9024226,0.4296761,0.4897303,0.6836398,0.4084396,2023-06-28 4:51:31 PM,0.4233,0.7492,0.4399
